Date,Close,High,Low,Open,Volume
2023-05-15,4278.7041015625,4278.7041015625,4236.340694616337,4278.7041015625,76451700
2023-05-16,4227.8681640625,4299.885958440318,4219.395482370992,4299.885958440318,42752200
2023-05-17,4236.34130859375,4299.886428222657,4219.395943359375,4227.868625976563,63396700
2023-05-19,4299.88623046875,4321.067936037562,4257.522819331127,4299.88623046875,78499800
2023-05-22,4426.97607421875,4448.157777923146,4299.885851992374,4321.06755569677,120027200
2023-05-23,4342.24951171875,4448.158036394817,4321.067806783536,4405.79462652439,165534100
2023-05-24,4299.88623046875,4363.431347175185,4278.704524899938,4342.249641606373,125575300
2023-05-25,4384.61279296875,4384.61279296875,4278.704271399457,4278.704271399457,76424100
2023-05-26,4342.24951171875,4405.79462652439,4321.067806783536,4384.612921589177,42313700
2023-05-29,4363.431640625,4384.613347618325,4321.068226638349,4384.613347618325,60646900
2023-05-30,4363.431640625,4405.79505461165,4321.068226638349,4321.068226638349,49086100
2023-05-31,4278.7041015625,4405.7943224009905,4278.7041015625,4384.612618927908,393735900
2023-06-05,4299.88623046875,4363.431347175185,4299.88623046875,4321.067936037562,149191300
2023-06-06,4278.7041015625,4321.067508508663,4193.977287670174,4278.7041015625,244590500
2023-06-07,4257.52197265625,4299.885375369247,4236.340271299751,4236.340271299751,130408700
2023-06-08,4257.52197265625,4299.885375369247,4236.340271299751,4236.340271299751,173484200
2023-06-09,4342.24951171875,4342.24951171875,4236.340987042683,4257.522691977896,150849200
2023-06-12,4321.0673828125,4342.249085669424,4278.703977098652,4321.0673828125,91080300
2023-06-13,4321.0673828125,4384.612491383272,4278.703977098652,4321.0673828125,143804700
2023-06-14,4278.7041015625,4363.430915454827,4278.7041015625,4342.249211981745,96670300
2023-06-15,4342.24951171875,4363.431216653963,4278.704396913109,4278.704396913109,94097900
2023-06-16,4363.431640625,4363.431640625,4299.886519645024,4342.249933631674,103942500
2023-06-19,4342.24951171875,4363.431216653963,4321.067806783536,4321.067806783536,36211300
2023-06-20,4321.0673828125,4342.249085669424,4278.703977098652,4321.0673828125,44316800
2023-06-21,4321.0673828125,4321.0673828125,4278.703977098652,4278.703977098652,58061600
2023-06-22,4299.88623046875,4363.431347175185,4299.88623046875,4321.067936037562,60457300
2023-06-23,4299.88623046875,4342.249641606373,4278.704524899938,4299.88623046875,47276900
2023-06-26,4342.24951171875,4384.612921589177,4299.886101848323,4321.067806783536,74263700
2023-06-27,4405.794921875,4448.158334585337,4363.431509164664,4384.613215519832,101592900
2023-07-03,4532.88525390625,4532.88525390625,4342.24989276066,4342.24989276066,227354700
2023-07-04,4448.15771484375,4575.247935267857,4426.976011439732,4575.247935267857,119841200
2023-07-05,4469.33984375,4511.7032545912325,4448.158138329384,4490.521549170617,78430000
2023-07-06,4490.52099609375,4532.884401717276,4448.157590470224,4490.52099609375,90981000
2023-07-07,4363.431640625,4490.5218825849515,4363.431640625,4469.340175591626,128515100
2023-07-10,4384.61279296875,4426.976201596467,4363.431088654891,4384.61279296875,82685700
2023-07-11,4469.33984375,4490.521549170617,4384.613022067536,4405.794727488152,100578900
2023-07-12,4490.52099609375,4554.066104529039,4448.157590470224,4490.52099609375,123947700
2023-07-13,4532.88525390625,4554.066960700205,4469.340133524386,4554.066960700205,101281200
2023-07-14,4575.24853515625,4596.430241337529,4532.885122793692,4575.24853515625,122343600
2023-07-17,4554.06640625,4638.793223110465,4554.06640625,4596.429814680232,99897600
2023-07-18,4532.88525390625,4596.430374288113,4490.521840318341,4554.066960700205,65073800
2023-07-20,4681.15673828125,4702.338442979355,4575.248214790724,4575.248214790724,132054000
2023-07-21,4702.3388671875,4723.5205737964525,4617.612040751689,4702.3388671875,111275700
2023-07-24,4659.974609375,4765.883123224432,4659.974609375,4702.338014914772,54865000
2023-07-25,4702.3388671875,4723.5205737964525,4659.975453969594,4702.3388671875,65237300
2023-07-26,4723.52001953125,4744.701723654708,4681.156611284333,4702.338315407791,88526700
2023-07-27,4765.88330078125,4829.428411458333,4723.519893663195,4723.519893663195,86556200
2023-07-28,4829.4287109375,4850.6104158100325,4765.883596319901,4765.883596319901,121968500
